id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
871867002,Men,Apparel,Bottomwear,Jeans,New Medium Wash,All,2026,Casual,Straight Jeans
888466002,Men,Apparel,Bottomwear,Jeans,Medium Light Wash,All,2026,Casual,'90s Loose Jeans
889863002,Men,Apparel,Bottomwear,Jeans,Ecru,All,2026,Casual,'90s Loose Carpenter Jeans
819620002,Men,Apparel,Bottomwear,Jeans,Light Wash,All,2026,Casual,Slim Jeans
889860002,Men,Apparel,Bottomwear,Jeans,Dark Wash,All,2026,Casual,Relaxed Straight Jeans
709159002,Men,Apparel,Bottomwear,Jeans,Light Wash,All,2026,Casual,Straight Jeans
709193002,Men,Apparel,Bottomwear,Jeans,Medium Wash,All,2026,Casual,Straight Jeans
502315002,Men,Apparel,Bottomwear,Jeans,Light Wash,All,2026,Casual,Baggy Jeans
624552002,Men,Apparel,Bottomwear,Jeans,Medium Wash,All,2026,Casual,Extra Baggy Jeans
808187002,Men,Apparel,Bottomwear,Jeans,Dark Rinse,All,2026,Casual,Athletic Slim Jeans
876543012,Men,Apparel,Bottomwear,Jeans,Navy,All,2026,Casual,Slim City Jeans
455514002,Men,Apparel,Bottomwear,Jeans,Washed Black,All,2026,Casual,'90s Loose Jeans
524246002,Men,Apparel,Bottomwear,Jeans,Black,All,2026,Casual,Baggy Jeans
805765002,Men,Apparel,Bottomwear,Jeans,Light Wash,All,2026,Casual,Relaxed Straight Jeans
888474002,Men,Apparel,Bottomwear,Jeans,Medium Wash,All,2026,Casual,Boot Jeans
645442002,Men,Apparel,Bottomwear,Jeans,Medium Wash,All,2026,Casual,'90s Loose Jeans
823043002,Men,Apparel,Bottomwear,Jeans,Paint Splatter,All,2026,Casual,Relaxed Straight Carpenter Jeans
887075002,Men,Apparel,Bottomwear,Jeans,Roasted Cashew,All,2026,Casual,'90s Loose Double-Knee Carpenter Jeans
876543042,Men,Apparel,Bottomwear,Jeans,Olive Green,All,2026,Casual,Slim City Jeans
819664002,Men,Apparel,Bottomwear,Jeans,Black,All,2026,Casual,Skinny Jeans
621916002,Men,Apparel,Bottomwear,Jeans,Dark Rinse,All,2026,Casual,Extra Baggy Jeans
881122002,Men,Apparel,Bottomwear,Jeans,Dark Wash,All,2026,Casual,Slim Selvedge Jeans
887827002,Men,Apparel,Bottomwear,Jeans,Mesculen Green,All,2026,Casual,UltraSoft Baggy Carpenter Jeans
781290002,Men,Apparel,Bottomwear,Jeans,White,All,2026,Casual,Relaxed Straight Trouser Jeans
888474012,Men,Apparel,Bottomwear,Jeans,Dark Rinse,All,2026,Casual,Boot Jeans
796684002,Men,Apparel,Bottomwear,Jeans,Moonless Night,All,2026,Casual,Relaxed Straight Jeans
899350002,Men,Apparel,Bottomwear,Jeans,Grey,All,2026,Casual,Rigid Baggy Jeans
899348002,Men,Apparel,Bottomwear,Jeans,Blackwash,All,2026,Casual,Extra Baggy Barrel Jeans
624545002,Men,Apparel,Bottomwear,Jeans,Black,All,2026,Casual,Extra Baggy Jeans
605405052,Men,Apparel,Bottomwear,Jeans,Palomino Brown,All,2026,Casual,Straight City Jeans
889861002,Men,Apparel,Bottomwear,Jeans,Medium Wash,All,2026,Casual,Relaxed Straight Jeans
455585002,Men,Apparel,Bottomwear,Jeans,Light Wash,All,2026,Casual,'90s Loose Jeans
855068012,Men,Apparel,Bottomwear,Jeans,Regular Grey,All,2026,Casual,Corduroy Relaxed Straight Pants
889862002,Men,Apparel,Bottomwear,Jeans,Black Wash,All,2026,Casual,Relaxed Straight Jeans
876543002,Men,Apparel,Bottomwear,Jeans,Brown,All,2026,Casual,Slim City Jeans
605405042,Men,Apparel,Bottomwear,Jeans,Forbidden Forest,All,2026,Casual,Straight City Jeans
894727002,Men,Apparel,Bottomwear,Jeans,Two-Tone Teal,All,2026,Casual,Gap × HFR ‘90s Loose Jeans by IGDALYAH
781289002,Men,Apparel,Bottomwear,Jeans,Dark Wash,All,2026,Casual,Relaxed Straight Trouser Jeans
887832002,Men,Apparel,Bottomwear,Jeans,Beige Clay,All,2026,Casual,UltraSoft Baggy Carpenter Jeans
803953002,Men,Apparel,Bottomwear,Jeans,Medium Wash,All,2026,Casual,Baggy Jeans
605405022,Men,Apparel,Bottomwear,Jeans,New Classic Navy,All,2026,Casual,Straight City Jeans
876543022,Men,Apparel,Bottomwear,Jeans,Fresh Praline,All,2026,Casual,Slim City Jeans
889857002,Men,Apparel,Bottomwear,Jeans,Sunrise,All,2026,Casual,Relaxed Straight Jeans
881138002,Men,Apparel,Bottomwear,Jeans,Medium Wash,All,2026,Casual,Slim Selvedge Jeans
796679002,Men,Apparel,Bottomwear,Jeans,Green Floral,All,2026,Casual,Floral Canvas Baggy Jeans
819578002,Men,Apparel,Bottomwear,Jeans,Rinse,All,2026,Casual,Skinny Jeans
